dn_id,invoice_id,customer_id,delivery_date,delivery_method,dn_return_date,status_dn,customer_name,customer_type,region,alamat,payment_terms,customer_status
DN240017,009517,RSS064,2024-02-18,Internal,2024-02-23,Received,RS Widiastuti,RS Swasta,Jakarta Pusat,"Gg. Monginsidi No. 55, Medan, LA 63426",NET 30,Active
DN240018,009518,KLN067,2024-10-01,Internal,2024-10-10,Received,Klinik Damanik,Klinik,Jakarta Barat,"Jl. Sentot Alibasa No. 1, Banda Aceh, Bengkulu 51703",NET 30,Active
DN240019,009519,RSS010,2024-05-14,Internal,2024-05-21,Received,RS Ardianto,RS Swasta,Jakarta Barat,"Gang M.H Thamrin No. 5, Sukabumi, SR 33778",NET 30,Active
DN240020,009520,RSS010,2024-05-15,Internal,,Pending,RS Ardianto,RS Swasta,Jakarta Barat,"Gang M.H Thamrin No. 5, Sukabumi, SR 33778",NET 30,Active
DN240021,009521,RSS048,2024-12-22,Internal,2024-12-31,Received,RS Sitorus,RS Swasta,Jakarta Barat,"Jalan Pasirkoja No. 42, Kendari, Banten 21343",NET 30,Active
DN240022,009522,RSP038,2024-01-20,Third-Party Courier,2024-01-29,Received,RSUD Riyanti,RS Pemerintah,Depok,"Gg. Otto Iskandardinata No. 74, Singkawang, NT 82483",NET 45,Active
DN240023,009523,RSP038,2024-01-20,Internal,2024-02-28,Late,RSUD Riyanti,RS Pemerintah,Depok,"Gg. Otto Iskandardinata No. 74, Singkawang, NT 82483",NET 45,Active
DN240024,009524,RSS023,2024-10-15,Third-Party Courier,2024-11-18,Late,RS Samosir,RS Swasta,Bekasi,"Jalan Rajiman No. 364, Tangerang, BB 97362",NET 30,Active
DN240025,009525,RSS023,2024-10-17,Internal,2024-10-21,Received,RS Samosir,RS Swasta,Bekasi,"Jalan Rajiman No. 364, Tangerang, BB 97362",NET 30,Active
DN240026,009526,RSS009,2024-01-28,Internal,2024-02-28,Late,RS Utama,RS Swasta,Jakarta Timur,"Jalan Rawamangun No. 6, Pekalongan, GO 10533",NET 30,Active
DN240027,009527,RSS009,2024-01-26,Internal,2024-02-05,Received,RS Utama,RS Swasta,Jakarta Timur,"Jalan Rawamangun No. 6, Pekalongan, GO 10533",NET 30,Active
DN240028,009528,RSS067,2024-11-29,Internal,2024-12-09,Received,RS Simbolon,RS Swasta,Tangerang,"Gg. Siliwangi No. 920, Lubuklinggau, Nusa Tenggara Timur 55686",NET 30,Active
DN240029,009529,RSS067,2024-11-27,Third-Party Courier,2024-12-03,Received,RS Simbolon,RS Swasta,Tangerang,"Gg. Siliwangi No. 920, Lubuklinggau, Nusa Tenggara Timur 55686",NET 30,Active
DN240030,009530,RSS059,2024-05-04,Third-Party Courier,2024-05-06,Received,RS Wijayanti,RS Swasta,Bekasi,"Gg. M.H Thamrin No. 811, Salatiga, Aceh 22048",NET 30,Active
DN240031,009531,RSS059,2024-05-06,Third-Party Courier,,Pending,RS Wijayanti,RS Swasta,Bekasi,"Gg. M.H Thamrin No. 811, Salatiga, Aceh 22048",NET 30,Active
DN240032,009532,KLN002,2024-09-03,Internal,2024-09-13,Received,Klinik Sihombing,Klinik,Jakarta Selatan,"Jalan Rajawali Timur No. 088, Palangkaraya, BA 39649",NET 30,Active
DN240033,009533,KLN050,2025-01-02,Internal,2025-01-09,Received,Klinik Firgantoro,Klinik,Jakarta Utara,"Jalan Ahmad Yani No. 92, Subulussalam, ST 49431",NET 30,Active
DN240034,009534,KLN050,2025-01-03,Third-Party Courier,,Pending,Klinik Firgantoro,Klinik,Jakarta Utara,"Jalan Ahmad Yani No. 92, Subulussalam, ST 49431",NET 30,Active
DN240035,009535,KLN006,2024-02-17,Internal,2024-02-23,Received,Klinik Hutagalung,Klinik,Bogor,"Jl. Pasteur No. 97, Langsa, Gorontalo 40266",NET 30,Active
DN240036,009536,RSS036,2024-07-02,Internal,2024-07-12,Received,RS Lestari,RS Swasta,Jakarta Pusat,"Jalan Rajawali Barat No. 8, Pekalongan, Jawa Timur 97170",NET 30,Active
DN240037,009537,RSP042,2024-11-15,Internal,2024-11-17,Received,RSUD Tamba,RS Pemerintah,Jakarta Pusat,"Gg. Tubagus Ismail No. 010, Sawahlunto, JK 65311",NET 45,Active
DN240038,009538,RSS064,2024-02-18,Internal,2024-02-27,Received,RS Widiastuti,RS Swasta,Jakarta Pusat,"Gg. Monginsidi No. 55, Medan, LA 63426",NET 30,Active
DN240039,009539,RSS064,2024-02-18,Internal,2024-02-27,Received,RS Widiastuti,RS Swasta,Jakarta Pusat,"Gg. Monginsidi No. 55, Medan, LA 63426",NET 30,Active
DN240040,009540,KLN041,2024-09-28,Internal,2024-10-06,Received,Klinik Suryatmi,Klinik,Jakarta Timur,"Gang Tubagus Ismail No. 80, Pariaman, MU 03775",NET 30,Active
DN240041,009541,KLN041,2024-10-01,Internal,,Pending,Klinik Suryatmi,Klinik,Jakarta Timur,"Gang Tubagus Ismail No. 80, Pariaman, MU 03775",NET 30,Active
DN240042,009542,RSS030,2024-12-31,Internal,2025-01-05,Received,RS Yulianti,RS Swasta,Bekasi,"Gang Merdeka No. 737, Parepare, Bengkulu 13524",NET 30,Active
DN240043,009543,RSP012,2024-08-14,Internal,2024-08-21,Received,RSUD Pertiwi,RS Pemerintah,Bekasi,"Jalan Cikutra Timur No. 50, Tanjungpinang, Sulawesi Tengah 09457",NET 45,Active
DN240044,009544,RSS067,2024-04-03,Internal,2024-05-07,Late,RS Simbolon,RS Swasta,Tangerang,"Gg. Siliwangi No. 920, Lubuklinggau, Nusa Tenggara Timur 55686",NET 30,Active
DN240045,009545,RSS067,2024-04-01,Internal,2024-04-07,Received,RS Simbolon,RS Swasta,Tangerang,"Gg. Siliwangi No. 920, Lubuklinggau, Nusa Tenggara Timur 55686",NET 30,Active
DN240046,009546,RSS051,2024-08-28,Internal,2024-09-06,Received,RS Yuliarti,RS Swasta,Jakarta Barat,"Gg. Sadang Serang No. 53, Banjarmasin, DI Yogyakarta 54419",NET 30,Active
DN240047,009547,RSS051,2024-08-28,Third-Party Courier,,Pending,RS Yuliarti,RS Swasta,Jakarta Barat,"Gg. Sadang Serang No. 53, Banjarmasin, DI Yogyakarta 54419",NET 30,Active
DN240048,009548,RSS038,2024-11-29,Internal,2024-12-05,Received,RS Pudjiastuti,RS Swasta,Jakarta Selatan,"Gg. Jakarta No. 9, Parepare, Jawa Timur 34535",NET 30,Active
DN240049,009549,RSS038,2024-11-30,Third-Party Courier,2024-12-08,Received,RS Pudjiastuti,RS Swasta,Jakarta Selatan,"Gg. Jakarta No. 9, Parepare, Jawa Timur 34535",NET 30,Active
DN240050,009550,KLN011,2024-11-27,Internal,2024-11-30,Received,Klinik Agustina,Klinik,Bekasi,"Jl. Joyoboyo No. 1, Padangpanjang, Sumatera Selatan 43471",NET 30,Active
DN240051,009551,RSS050,2024-09-19,Internal,2024-09-28,Received,RS Kusmawati,RS Swasta,Bogor,"Jalan Ahmad Yani No. 8, Sukabumi, Sulawesi Selatan 16774",NET 30,Active
DN240052,009552,RSS021,2024-04-30,Third-Party Courier,2024-05-20,Late,RS Wijaya,RS Swasta,Tangerang,"Gang PHH. Mustofa No. 96, Sukabumi, Jawa Timur 86586",NET 30,Active
DN240053,009553,RSS021,2024-05-02,Internal,2024-05-25,Late,RS Wijaya,RS Swasta,Tangerang,"Gang PHH. Mustofa No. 96, Sukabumi, Jawa Timur 86586",NET 30,Active
DN240054,009554,RSS046,2024-01-15,Third-Party Courier,2024-01-17,Received,RS Widiastuti,RS Swasta,Jakarta Utara,"Gang Kutai No. 31, Tarakan, Kalimantan Utara 15527",NET 30,Active
DN240055,009555,RSS046,2024-01-17,Internal,2024-01-23,Received,RS Widiastuti,RS Swasta,Jakarta Utara,"Gang Kutai No. 31, Tarakan, Kalimantan Utara 15527",NET 30,Active
DN240056,009556,RSS058,2024-05-04,Internal,,Pending,RS Astuti,RS Swasta,Jakarta Barat,"Gang PHH. Mustofa No. 40, Palembang, Sumatera Selatan 46313",NET 30,Active
DN240057,009557,RSS058,2024-05-04,Internal,2024-05-14,Received,RS Astuti,RS Swasta,Jakarta Barat,"Gang PHH. Mustofa No. 40, Palembang, Sumatera Selatan 46313",NET 30,Active
DN240058,009558,RSP052,2024-09-18,Internal,2024-09-25,Received,RSUD Wahyuni,RS Pemerintah,Jakarta Timur,"Gg. Gedebage Selatan No. 12, Malang, KU 48302",NET 45,Active
DN240059,009559,RSP052,2024-09-20,Internal,2024-09-23,Received,RSUD Wahyuni,RS Pemerintah,Jakarta Timur,"Gg. Gedebage Selatan No. 12, Malang, KU 48302",NET 45,Active
DN240060,009560,RSS014,2024-08-27,Internal,2024-08-29,Received,RS Dabukke,RS Swasta,Bogor,"Jl. Lembong No. 7, Pematangsiantar, Kalimantan Selatan 71602",NET 30,Active
DN240061,009561,RSS014,2024-08-26,Third-Party Courier,2024-10-03,Late,RS Dabukke,RS Swasta,Bogor,"Jl. Lembong No. 7, Pematangsiantar, Kalimantan Selatan 71602",NET 30,Active
DN240062,009562,KLN055,2024-06-24,Third-Party Courier,2024-07-02,Received,Klinik Fujiati,Klinik,Bekasi,"Gg. KH Amin Jasuta No. 19, Palembang, NB 00845",NET 30,Active
DN240063,009563,RSP021,2024-03-28,Third-Party Courier,2024-04-06,Received,RSUD Purwanti,RS Pemerintah,Jakarta Barat,"Gg. Ahmad Dahlan No. 6, Tebingtinggi, BB 04736",NET 45,Active
DN240064,009564,RSS073,2024-01-21,Third-Party Courier,2024-01-26,Received,RS Suartini,RS Swasta,Depok,"Jl. Siliwangi No. 000, Bandar Lampung, MA 06915",NET 30,Active
DN240065,009565,RSS073,2024-01-21,Internal,2024-01-30,Received,RS Suartini,RS Swasta,Depok,"Jl. Siliwangi No. 000, Bandar Lampung, MA 06915",NET 30,Active
DN240066,009566,KLN019,2024-04-24,Third-Party Courier,2024-05-18,Late,Klinik Padmasari,Klinik,Tangerang,"Gg. Astana Anyar No. 33, Bontang, Kalimantan Barat 07263",NET 30,Active
DN240067,009567,KLN019,2024-04-24,Internal,2024-05-16,Late,Klinik Padmasari,Klinik,Tangerang,"Gg. Astana Anyar No. 33, Bontang, Kalimantan Barat 07263",NET 30,Active
DN240068,009568,KLN054,2024-05-05,Internal,2024-05-15,Received,Klinik Yulianti,Klinik,Bekasi,"Gang Cihampelas No. 7, Banjar, KR 41340",NET 30,Active
DN240069,009569,KLN054,2024-05-03,Third-Party Courier,,Pending,Klinik Yulianti,Klinik,Bekasi,"Gang Cihampelas No. 7, Banjar, KR 41340",NET 30,Active
DN240070,009570,RSP009,2024-09-18,Third-Party Courier,,Pending,RSUD Hutagalung,RS Pemerintah,Tangerang,"Gg. Sukajadi No. 47, Padang, Kepulauan Riau 64722",NET 45,Active
DN240071,009571,KLN024,2024-11-27,Internal,2024-12-05,Received,Klinik Hasanah,Klinik,Jakarta Barat,"Gang Gardujati No. 183, Samarinda, Maluku 76533",NET 30,Active
DN240072,009572,RSS056,2024-11-15,Third-Party Courier,2024-11-22,Received,RS Manullang,RS Swasta,Bekasi,"Gg. Otto Iskandardinata No. 548, Ambon, Kalimantan Timur 55480",NET 30,Active
DN240073,009573,RSS056,2024-11-14,Third-Party Courier,2024-11-19,Received,RS Manullang,RS Swasta,Bekasi,"Gg. Otto Iskandardinata No. 548, Ambon, Kalimantan Timur 55480",NET 30,Active
DN240074,009574,RSS036,2024-03-15,Third-Party Courier,2024-03-20,Received,RS Lestari,RS Swasta,Jakarta Pusat,"Jalan Rajawali Barat No. 8, Pekalongan, Jawa Timur 97170",NET 30,Active
DN240075,009575,RSS036,2024-03-16,Third-Party Courier,2024-03-25,Received,RS Lestari,RS Swasta,Jakarta Pusat,"Jalan Rajawali Barat No. 8, Pekalongan, Jawa Timur 97170",NET 30,Active
DN240076,009576,KLN067,2024-05-29,Internal,,Pending,Klinik Damanik,Klinik,Jakarta Barat,"Jl. Sentot Alibasa No. 1, Banda Aceh, Bengkulu 51703",NET 30,Active
DN240077,009577,KLN067,2024-05-29,Internal,2024-06-05,Received,Klinik Damanik,Klinik,Jakarta Barat,"Jl. Sentot Alibasa No. 1, Banda Aceh, Bengkulu 51703",NET 30,Active
DN240078,009578,RSS064,2024-10-14,Internal,2024-10-24,Received,RS Widiastuti,RS Swasta,Jakarta Pusat,"Gg. Monginsidi No. 55, Medan, LA 63426",NET 30,Active
DN240079,009579,RSP036,2024-03-15,Third-Party Courier,2024-03-23,Received,RSUD Wulandari,RS Pemerintah,Depok,"Jl. S. Parman No. 3, Tanjungpinang, KR 86766",NET 45,Active
DN240080,009580,RSS036,2024-10-30,Internal,2024-11-09,Received,RS Lestari,RS Swasta,Jakarta Pusat,"Jalan Rajawali Barat No. 8, Pekalongan, Jawa Timur 97170",NET 30,Active
DN240081,009581,RSS030,2024-11-22,Third-Party Courier,2024-12-09,Late,RS Yulianti,RS Swasta,Bekasi,"Gang Merdeka No. 737, Parepare, Bengkulu 13524",NET 30,Active
DN240082,009582,KLN026,2024-12-30,Third-Party Courier,2025-01-05,Received,Klinik Hardiansyah,Klinik,Tangerang,"Gg. Jend. A. Yani No. 3, Surakarta, KB 61820",NET 30,Active
DN240083,009583,KLN067,2024-04-30,Internal,2024-05-08,Received,Klinik Damanik,Klinik,Jakarta Barat,"Jl. Sentot Alibasa No. 1, Banda Aceh, Bengkulu 51703",NET 30,Active
DN240084,009584,RSS004,2024-06-26,Internal,2024-07-01,Received,RS Waskita,RS Swasta,Jakarta Barat,"Gg. Sentot Alibasa No. 540, Tebingtinggi, RI 20974",NET 30,Active
DN240085,009585,RSS004,2024-06-26,Internal,2024-07-05,Received,RS Waskita,RS Swasta,Jakarta Barat,"Gg. Sentot Alibasa No. 540, Tebingtinggi, RI 20974",NET 30,Active
DN240086,009586,RSS050,2024-02-24,Internal,2024-02-27,Received,RS Kusmawati,RS Swasta,Bogor,"Jalan Ahmad Yani No. 8, Sukabumi, Sulawesi Selatan 16774",NET 30,Active
DN240087,009587,RSP034,2024-12-02,Third-Party Courier,2024-12-18,Late,RSUD Tarihoran,RS Pemerintah,Jakarta Barat,"Jl. Rumah Sakit No. 895, Probolinggo, Nusa Tenggara Timur 61113",NET 45,Active
DN240088,009588,RSP034,2024-12-02,Internal,2024-12-06,Received,RSUD Tarihoran,RS Pemerintah,Jakarta Barat,"Jl. Rumah Sakit No. 895, Probolinggo, Nusa Tenggara Timur 61113",NET 45,Active
DN240089,009589,KLN008,2024-09-18,Internal,2024-09-26,Received,Klinik Permadi,Klinik,Jakarta Timur,"Gg. Sentot Alibasa No. 00, Ambon, KU 23366",NET 30,Active
DN240090,009590,KLN008,2024-09-17,Third-Party Courier,2024-09-22,Received,Klinik Permadi,Klinik,Jakarta Timur,"Gg. Sentot Alibasa No. 00, Ambon, KU 23366",NET 30,Active
DN240091,009591,RSS081,2024-01-07,Third-Party Courier,2024-02-09,Late,RS Kuswandari,RS Swasta,Bekasi,"Jalan Ciumbuleuit No. 16, Banjarbaru, JT 91797",NET 30,Active
DN240092,009592,RSS081,2024-01-07,Internal,2024-01-11,Received,RS Kuswandari,RS Swasta,Bekasi,"Jalan Ciumbuleuit No. 16, Banjarbaru, JT 91797",NET 30,Active
DN240093,009593,RSP012,2024-08-23,Internal,2024-08-27,Received,RSUD Pertiwi,RS Pemerintah,Bekasi,"Jalan Cikutra Timur No. 50, Tanjungpinang, Sulawesi Tengah 09457",NET 45,Active
DN240094,009594,RSP012,2024-08-23,Internal,2024-08-25,Received,RSUD Pertiwi,RS Pemerintah,Bekasi,"Jalan Cikutra Timur No. 50, Tanjungpinang, Sulawesi Tengah 09457",NET 45,Active
DN240095,009595,KLN006,2024-08-22,Internal,,Pending,Klinik Hutagalung,Klinik,Bogor,"Jl. Pasteur No. 97, Langsa, Gorontalo 40266",NET 30,Active
DN240096,009596,RSS004,2024-03-13,Internal,2024-03-23,Received,RS Waskita,RS Swasta,Jakarta Barat,"Gg. Sentot Alibasa No. 540, Tebingtinggi, RI 20974",NET 30,Active
DN240097,009597,RSP034,2024-03-09,Internal,2024-03-14,Received,RSUD Tarihoran,RS Pemerintah,Jakarta Barat,"Jl. Rumah Sakit No. 895, Probolinggo, Nusa Tenggara Timur 61113",NET 45,Active
DN240098,009598,KLN013,2024-03-01,Third-Party Courier,2024-03-06,Received,Klinik Sihotang,Klinik,Bekasi,"Gang Kapten Muslihat No. 87, Ambon, SR 74346",NET 30,Active
DN240099,009599,RSS037,2024-02-01,Internal,2024-02-03,Received,RS Lailasari,RS Swasta,Jakarta Barat,"Gg. Kebonjati No. 5, Tasikmalaya, Kalimantan Selatan 99877",NET 30,Active
DN240100,009600,RSS057,2024-10-15,Third-Party Courier,2024-10-21,Received,RS Wijaya,RS Swasta,Tangerang,"Jl. Ir. H. Djuanda No. 5, Kota Administrasi Jakarta Barat, JB 57378",NET 30,Active
DN240101,009601,RSS017,2024-07-14,Internal,2024-07-23,Received,RS Yolanda,RS Swasta,Bogor,"Gg. Medokan Ayu No. 656, Yogyakarta, Lampung 08134",NET 30,Active
DN240102,009602,RSP036,2024-07-11,Internal,2024-07-18,Received,RSUD Wulandari,RS Pemerintah,Depok,"Jl. S. Parman No. 3, Tanjungpinang, KR 86766",NET 45,Active
DN240103,009603,RSS040,2024-06-08,Third-Party Courier,2024-06-15,Received,RS Permata,RS Swasta,Bekasi,"Jl. Dipatiukur No. 549, Kota Administrasi Jakarta Selatan, NB 24286",NET 30,Active
DN240104,009604,RSS040,2024-06-08,Third-Party Courier,2024-06-16,Received,RS Permata,RS Swasta,Bekasi,"Jl. Dipatiukur No. 549, Kota Administrasi Jakarta Selatan, NB 24286",NET 30,Active
DN240105,009605,RSP005,2024-01-27,Third-Party Courier,2024-02-06,Received,RSUD Pertiwi,RS Pemerintah,Depok,"Jl. Jend. Sudirman No. 40, Cimahi, KB 37680",NET 45,Active
DN240106,009606,RSS070,2024-12-06,Third-Party Courier,2024-12-09,Received,RS Budiman,RS Swasta,Jakarta Pusat,"Gang Yos Sudarso No. 1, Denpasar, JA 18990",NET 30,Active
DN240107,009607,RSS070,2024-12-06,Internal,2024-12-08,Received,RS Budiman,RS Swasta,Jakarta Pusat,"Gang Yos Sudarso No. 1, Denpasar, JA 18990",NET 30,Active
DN240108,009608,RSS070,2024-04-26,Internal,,Pending,RS Budiman,RS Swasta,Jakarta Pusat,"Gang Yos Sudarso No. 1, Denpasar, JA 18990",NET 30,Active
DN240109,009609,KLN056,2024-12-15,Internal,2025-01-27,Late,Klinik Budiyanto,Klinik,Tangerang,"Jl. BKR No. 33, Bima, JB 75322",NET 30,Active
DN240110,009610,RSP038,2024-10-20,Third-Party Courier,,Pending,RSUD Riyanti,RS Pemerintah,Depok,"Gg. Otto Iskandardinata No. 74, Singkawang, NT 82483",NET 45,Active
DN240111,009611,KLN038,2024-01-10,Third-Party Courier,2024-01-26,Late,Klinik Hutasoit,Klinik,Jakarta Timur,"Gang Sukabumi No. 25, Bau-Bau, BA 94114",NET 30,Active
DN240112,009612,KLN038,2024-01-08,Third-Party Courier,2024-02-10,Late,Klinik Hutasoit,Klinik,Jakarta Timur,"Gang Sukabumi No. 25, Bau-Bau, BA 94114",NET 30,Active
DN240113,009613,RSS011,2024-03-27,Internal,2024-04-04,Received,RS Halim,RS Swasta,Jakarta Timur,"Jalan S. Parman No. 40, Binjai, DI Yogyakarta 18640",NET 30,Active
DN240114,009614,RSS011,2024-03-27,Internal,2024-03-31,Received,RS Halim,RS Swasta,Jakarta Timur,"Jalan S. Parman No. 40, Binjai, DI Yogyakarta 18640",NET 30,Active
DN240115,009615,KLN058,2024-12-18,Third-Party Courier,2024-12-26,Received,Klinik Safitri,Klinik,Tangerang,"Jl. Lembong No. 2, Pariaman, NT 25067",NET 30,Active
DN240116,009616,KLN047,2024-06-14,Third-Party Courier,,Pending,Klinik Mandasari,Klinik,Bogor,"Jl. Pasirkoja No. 8, Tarakan, KB 14125",NET 30,Active
DN240117,009617,KLN047,2024-06-13,Internal,2024-06-16,Received,Klinik Mandasari,Klinik,Bogor,"Jl. Pasirkoja No. 8, Tarakan, KB 14125",NET 30,Active
DN240118,009618,KLN037,2024-10-16,Internal,2024-10-19,Received,Klinik Ramadan,Klinik,Jakarta Utara,"Jalan Cikutra Barat No. 69, Batu, BT 78774",NET 30,Active
DN240119,009619,KLN031,2024-07-06,Third-Party Courier,2024-07-10,Received,Klinik Wahyuni,Klinik,Bekasi,"Gg. Ir. H. Djuanda No. 273, Tasikmalaya, Nusa Tenggara Barat 06907",NET 30,Active
DN240120,009620,RSP024,2024-06-04,Internal,2024-06-12,Received,RSUD Yuniar,RS Pemerintah,Bekasi,"Jl. Wonoayu No. 5, Kota Administrasi Jakarta Selatan, Nusa Tenggara Barat 20154",NET 45,Active
DN240121,009621,RSS046,2024-07-06,Internal,2024-07-09,Received,RS Widiastuti,RS Swasta,Jakarta Utara,"Gang Kutai No. 31, Tarakan, Kalimantan Utara 15527",NET 30,Active
DN240122,009622,RSS016,2024-07-30,Third-Party Courier,2024-09-08,Late,RS Natsir,RS Swasta,Tangerang,"Gg. W.R. Supratman No. 2, Surabaya, RI 30777",NET 30,Active
DN240123,009623,KLN039,2024-10-08,Third-Party Courier,2024-10-16,Received,Klinik Halimah,Klinik,Bekasi,"Gang Cikapayang No. 85, Tangerang Selatan, Maluku 00119",NET 30,Active
DN240124,009624,RSS027,2024-06-20,Internal,,Pending,RS Maryati,RS Swasta,Jakarta Selatan,"Gg. Cempaka No. 9, Kupang, NB 37061",NET 30,Active
DN240125,009625,RSS027,2024-06-21,Internal,2024-06-30,Received,RS Maryati,RS Swasta,Jakarta Selatan,"Gg. Cempaka No. 9, Kupang, NB 37061",NET 30,Active
DN240126,009626,KLN048,2024-04-20,Internal,2024-04-25,Received,Klinik Yulianti,Klinik,Jakarta Barat,"Jl. Sentot Alibasa No. 30, Bitung, KS 23572",NET 30,Active
DN240127,009627,KLN011,2024-09-26,Third-Party Courier,2024-10-04,Received,Klinik Agustina,Klinik,Bekasi,"Jl. Joyoboyo No. 1, Padangpanjang, Sumatera Selatan 43471",NET 30,Active
DN240128,009628,KLN043,2024-12-29,Internal,2025-01-02,Received,Klinik Suwarno,Klinik,Jakarta Barat,"Jl. Stasiun Wonokromo No. 6, Banda Aceh, KS 32906",NET 30,Active
DN240129,009629,RSP053,2024-12-12,Internal,2024-12-16,Received,RSUD Simbolon,RS Pemerintah,Jakarta Utara,"Jalan Indragiri No. 826, Kupang, BA 42657",NET 45,Active
DN240130,009630,RSP042,2024-10-14,Third-Party Courier,2024-10-23,Received,RSUD Tamba,RS Pemerintah,Jakarta Pusat,"Gg. Tubagus Ismail No. 010, Sawahlunto, JK 65311",NET 45,Active
DN240131,009631,RSP022,2024-07-31,Internal,2024-08-10,Received,RSUD Kurniawan,RS Pemerintah,Jakarta Barat,"Gang Waringin No. 94, Sorong, Jawa Barat 68901",NET 45,Active
DN240132,009632,RSS075,2024-09-20,Internal,2024-11-01,Late,RS Nashiruddin,RS Swasta,Jakarta Barat,"Gg. Cempaka No. 127, Madiun, Jawa Tengah 36354",NET 30,Active
DN240133,009633,KLN006,2024-05-17,Third-Party Courier,2024-05-21,Received,Klinik Hutagalung,Klinik,Bogor,"Jl. Pasteur No. 97, Langsa, Gorontalo 40266",NET 30,Active
DN240134,009634,RSS043,2024-04-19,Third-Party Courier,,Pending,RS Wacana,RS Swasta,Bogor,"Gang Rajawali Barat No. 1, Pekalongan, NB 17459",NET 30,Active
DN240135,009635,KLN056,2024-08-02,Third-Party Courier,2024-08-10,Received,Klinik Budiyanto,Klinik,Tangerang,"Jl. BKR No. 33, Bima, JB 75322",NET 30,Active
DN240136,009636,RSS039,2024-08-23,Internal,,Pending,RS Uyainah,RS Swasta,Bekasi,"Jalan Wonoayu No. 5, Probolinggo, Sulawesi Selatan 53015",NET 30,Active
DN240137,009637,RSS033,2024-02-20,Third-Party Courier,2024-03-08,Late,RS Wijayanti,RS Swasta,Jakarta Utara,"Jalan Jend. Sudirman No. 16, Kotamobagu, Papua Barat 11606",NET 30,Active
DN240138,009638,RSS057,2024-01-26,Internal,2024-01-29,Received,RS Wijaya,RS Swasta,Tangerang,"Jl. Ir. H. Djuanda No. 5, Kota Administrasi Jakarta Barat, JB 57378",NET 30,Active
